name;prop;#initonly;#finalOnly;#noChange;#change;#tool;#method;#time;mem MB;#ans
5Aarnet.gml;(Reach 113);24;24;30;6;reduce=True;VerifyMethod.allSymbolic;0.006687561670939066;88.29466666666667;True
5Abilene.gml;(Reach 59);24;24;6;6;reduce=True;VerifyMethod.allSymbolic;0.006040096282958933;87.87733333333334;True
5Abvt.gml;(Reach 134);34;34;8;6;reduce=True;VerifyMethod.allSymbolic;0.0064171950022379005;88.26666666666667;True
5Aconet.gml;(Reach 136);18;18;6;6;reduce=True;VerifyMethod.allSymbolic;0.005694071451822867;88.31599999999999;True
5Agis.gml;(Reach 143);18;18;24;6;reduce=True;VerifyMethod.allSymbolic;0.006106932957967067;88.51466666666666;True
5Airtel.gml;(Reach 95);6;6;18;6;reduce=True;VerifyMethod.allSymbolic;0.005467096964518167;88.97466666666666;True
5Ans.gml;(Reach 106);18;24;18;6;reduce=True;VerifyMethod.allSymbolic;0.0063468615214029335;88.23866666666667;True
5Arnes.gml;(Reach 197);18;30;13;17;reduce=True;VerifyMethod.allSymbolic;0.03725147247314447;89.07333333333332;True
5Arpanet196912.gml;(Reach 23);0;2;16;2;reduce=True;VerifyMethod.allSymbolic;0.004689772923787367;88.952;True
5Arpanet19706.gml;(Reach 52);5;16;16;9;reduce=True;VerifyMethod.allSymbolic;0.0114041169484456;87.83333333333333;True
5Arpanet19719.gml;(Reach 103);34;39;8;6;reduce=True;VerifyMethod.allSymbolic;0.006734927495320567;88.92133333333334;True
5Arpanet19723.gml;(Reach 145);54;59;6;6;reduce=True;VerifyMethod.allSymbolic;0.007915894190470334;88.51066666666668;True
5Arpanet19728.gml;(Reach 171);48;48;6;6;reduce=True;VerifyMethod.allSymbolic;0.0069193045298258;88.69466666666666;True
5AsnetAm.gml;(Reach 383);15;21;27;12;reduce=True;VerifyMethod.allSymbolic;0.027673006057739202;89.73466666666667;True
5Atmnet.gml;(Reach 120);48;54;6;6;reduce=True;VerifyMethod.allSymbolic;0.007367134094238201;88.30266666666667;True
5AttMpls.gml;(Reach 149);17;23;8;11;reduce=True;VerifyMethod.allSymbolic;0.014658053716023732;89.05066666666666;True
5Bbnplanet.gml;(Reach 148);24;24;18;6;reduce=True;VerifyMethod.allSymbolic;0.006199598312377899;88.47866666666668;True
5Bellcanada.gml;(Reach 250);42;48;30;12;reduce=True;VerifyMethod.allSymbolic;0.0225574970245361;89.74133333333333;True
5Bellsouth.gml;(Reach 291);6;12;36;6;reduce=True;VerifyMethod.allSymbolic;0.005947987238566033;89.748;True
5Belnet2003.gml;(Reach 137);6;6;12;6;reduce=True;VerifyMethod.allSymbolic;0.0054283142089842995;88.71199999999999;True
5Belnet2004.gml;(Reach 137);6;6;12;6;reduce=True;VerifyMethod.allSymbolic;0.005628903706868467;88.60933333333332;True
