name;prop;#initonly;#finalOnly;#noChange;#change;#tool;#method;#time;mem MB;#ans
5Aarnet.gml;(Service([18, 19, 44, 64, 80, 100, 113]-113) & (Reach 113));24;24;30;6;reduce=True;VerifyMethod.allSymbolic;0.018943548202514603;87.39066666666668;True
5Abilene.gml;(Service([26, 55]-59) & (Reach 59));24;24;6;6;reduce=True;VerifyMethod.allSymbolic;0.009382168451944967;87.26400000000001;True
5Abvt.gml;(Service([40, 101]-134) & (Reach 134));34;34;8;6;reduce=True;VerifyMethod.allSymbolic;0.010622262954711867;89.224;True
5Aconet.gml;(Service([67, 118]-136) & (Reach 136));18;18;6;6;reduce=True;VerifyMethod.allSymbolic;0.0087622801462809;88.508;True
5Agis.gml;(Service([41, 66, 91, 116, 141]-143) & (Reach 143));18;18;24;6;reduce=True;VerifyMethod.allSymbolic;0.013960838317871066;88.62133333333334;True
5Airtel.gml;(Service([23, 46, 63, 84]-95) & (Reach 95));6;6;18;6;reduce=True;VerifyMethod.allSymbolic;0.0094692707061767;89.00666666666666;True
5Ans.gml;(Service([35, 52, 70, 91]-106) & (Reach 106));18;24;18;6;reduce=True;VerifyMethod.allSymbolic;0.013668855031331334;87.55866666666667;True
5Arnes.gml;(Service([44, 78, 112, 146, 180]-197) & (Reach 197));18;30;13;17;reduce=True;VerifyMethod.allSymbolic;0.0673957665761311;88.56666666666666;True
5Arpanet196912.gml;(Service([7, 12, 21]-23) & (Reach 23));0;2;16;2;reduce=True;VerifyMethod.allSymbolic;0.006877104441324801;86.89733333333334;True
5Arpanet19706.gml;(Service([17, 21, 31, 43]-52) & (Reach 52));5;16;16;9;reduce=True;VerifyMethod.allSymbolic;0.0229435761769612;87.13733333333333;True
5Arpanet19719.gml;(Service([31, 72]-103) & (Reach 103));34;39;8;6;reduce=True;VerifyMethod.allSymbolic;0.0116055806477864;87.724;True
5Arpanet19723.gml;(Service([70, 127]-145) & (Reach 145));54;59;6;6;reduce=True;VerifyMethod.allSymbolic;0.016233285268147733;87.92266666666667;True
5Arpanet19728.gml;(Service([84, 146]-171) & (Reach 171));48;48;6;6;reduce=True;VerifyMethod.allSymbolic;0.0143644014994303;87.99866666666667;True
5AsnetAm.gml;(Service([58, 72, 157, 226, 253, 267, 333]-383) & (Reach 383));15;21;27;12;reduce=True;VerifyMethod.allSymbolic;0.07868798573811843;91.068;True
5Atmnet.gml;(Service([57, 110]-120) & (Reach 120));48;54;6;6;reduce=True;VerifyMethod.allSymbolic;0.017413377761840765;89.04666666666667;True
5AttMpls.gml;(Service([27, 76, 124]-149) & (Reach 149));17;23;8;11;reduce=True;VerifyMethod.allSymbolic;0.026996215184529566;89.66933333333333;True
5Bbnplanet.gml;(Service([45, 62, 94, 137]-148) & (Reach 148));24;24;18;6;reduce=True;VerifyMethod.allSymbolic;0.015439271926879834;87.95066666666666;True
5Bellcanada.gml;(Service([19, 65, 110, 106, 162, 208, 246, 259]-250) & (Reach 250));42;48;30;12;reduce=True;VerifyMethod.allSymbolic;0.08987490336100257;89.24133333333333;True
5Bellsouth.gml;(Service([46, 100, 144, 138, 163, 254, 257, 301]-291) & (Reach 291));6;12;36;6;reduce=True;VerifyMethod.allSymbolic;0.0204384326934814;88.85466666666667;True
5Belnet2003.gml;(Service([35, 76, 120]-137) & (Reach 137));6;6;12;6;reduce=True;VerifyMethod.allSymbolic;0.009339173634846966;88.02533333333334;True
5Belnet2004.gml;(Service([35, 76, 120]-137) & (Reach 137));6;6;12;6;reduce=True;VerifyMethod.allSymbolic;0.0092264016469319;88.81599999999999;True
5Belnet2005.gml;(Service([51, 91, 129]-137) & (Reach 137));7;7;11;6;reduce=True;VerifyMethod.allSymbolic;0.009300629297892233;88.12933333333335;True
5Belnet2006.gml;(Service([51, 91, 129]-137) & (Reach 137));7;7;11;6;reduce=True;VerifyMethod.allSymbolic;0.009075800577799433;88.128;True
5Belnet2007.gml;(Service([35, 73, 91, 111]-120) & (Reach 120));26;42;6;16;reduce=True;VerifyMethod.allSymbolic;0.13247871398925778;87.74666666666667;True
5Belnet2008.gml;(Service([35, 73, 91, 111]-120) & (Reach 120));26;42;6;16;reduce=True;VerifyMethod.allSymbolic;0.13212211926778158;87.86666666666667;True
5Belnet2009.gml;(Service([51, 107]-114) & (Reach 114));36;42;6;6;reduce=True;VerifyMethod.allSymbolic;0.015009085337320933;87.84533333333333;True
5Belnet2010.gml;(Service([37, 78, 95, 114]-126) & (Reach 126));26;42;6;16;reduce=True;VerifyMethod.allSymbolic;0.199589729309082;87.99066666666666;True
5BeyondTheNetwork.gml;(Service([26, 124, 132, 165, 259, 314]-291) & (Reach 291));14;21;28;6;reduce=True;VerifyMethod.allSymbolic;0.019961198170979768;90.38933333333334;True
5Bics.gml;(Service([40, 73, 104, 137, 165]-193) & (Reach 193));27;30;21;6;reduce=True;VerifyMethod.allSymbolic;0.0192952156066894;89.17866666666667;True
5Biznet.gml;(Service([19, 57, 81, 103, 131, 155, 164]-164) & (Reach 164));66;72;24;12;reduce=True;VerifyMethod.allSymbolic;0.10338052113850905;88.77066666666667;True
5Bren.gml;(Service([53, 90, 127, 164, 201]-221) & (Reach 221));24;36;18;12;reduce=True;VerifyMethod.allSymbolic;0.054818232854207304;88.89733333333334;True
5BsonetEurope.gml;(Service([23, 48, 66, 70, 88, 107]-106) & (Reach 106));10;10;26;6;reduce=True;VerifyMethod.allSymbolic;0.015038251876831034;88.93866666666668;True
5BtAsiaPac.gml;(Service([35, 42, 79, 100]-119) & (Reach 119));6;6;18;6;reduce=True;VerifyMethod.allSymbolic;0.010736942291259733;87.80533333333334;True
