name;prop;#initonly;#finalOnly;#noChange;#change;#tool;#method;#time;mem MB;#ans
5Aarnet.gml;(((((((((((((((((WP(98-113) | WP(67-113)) | WP(100-113)) | WP(3-113)) | WP(105-113)) | WP(10-113)) | WP(43-113)) | WP(41-113)) | WP(79-113)) | WP(48-113)) | WP(81-113)) | WP(86-113)) | WP(22-113)) | WP(24-113)) | WP(60-113)) | WP(29-113)) | WP(62-113)) & (Reach 113));24;24;30;6;reduce=True;VerifyMethod.allSymbolic;0.0495842297871907;88.11866666666667;True
5Abilene.gml;(((((((((((WP(4-59) | WP(42-59)) | WP(43-59)) | WP(45-59)) | WP(46-59)) | WP(16-59)) | WP(17-59)) | WP(55-59)) | WP(59-59)) | WP(29-59)) | WP(30-59)) & (Reach 59));24;24;6;6;reduce=True;VerifyMethod.allSymbolic;0.020477851231892833;87.27066666666667;True
5Abvt.gml;((((((((((((((((WP(89-134) | WP(40-134)) | WP(136-134)) | WP(10-134)) | WP(77-134)) | WP(92-134)) | WP(48-134)) | WP(81-134)) | WP(114-134)) | WP(21-134)) | WP(87-134)) | WP(24-134)) | WP(25-134)) | WP(124-134)) | WP(125-134)) | WP(57-134)) & (Reach 134));34;34;8;6;reduce=True;VerifyMethod.allSymbolic;0.03890665372212723;88.43733333333334;True
5Aconet.gml;(((((WP(72-136) | WP(49-136)) | WP(118-136)) | WP(26-136)) | WP(95-136)) & (Reach 136));18;18;6;6;reduce=True;VerifyMethod.allSymbolic;0.011843204498290967;88.51066666666667;True
5Agis.gml;((((((((((((WP(122-143) | WP(71-143)) | WP(106-143)) | WP(43-143)) | WP(141-143)) | WP(92-143)) | WP(144-143)) | WP(48-143)) | WP(19-143)) | WP(57-143)) | WP(90-143)) | WP(28-143)) & (Reach 143));18;18;24;6;reduce=True;VerifyMethod.allSymbolic;0.028768936793009365;87.71600000000001;True
5Airtel.gml;(((((WP(36-95) | WP(68-95)) | WP(18-95)) | WP(84-95)) | WP(52-95)) & (Reach 95));6;6;18;6;reduce=True;VerifyMethod.allSymbolic;0.011172612508137966;89.05466666666666;True
5Ans.gml;((((((((((((((((WP(34-106) | WP(37-106)) | WP(90-106)) | WP(71-106)) | WP(69-106)) | WP(105-106)) | WP(107-106)) | WP(14-106)) | WP(15-106)) | WP(79-106)) | WP(48-106)) | WP(83-106)) | WP(52-106)) | WP(55-106)) | WP(24-106)) | WP(26-106)) & (Reach 106));18;24;18;6;reduce=True;VerifyMethod.allSymbolic;0.03984109560648593;88.856;True
5Arnes.gml;((((((((((((((((((WP(64-197) | WP(98-197)) | WP(130-197)) | WP(132-197)) | WP(166-197)) | WP(199-197)) | WP(200-197)) | WP(44-197)) | WP(78-197)) | WP(143-197)) | WP(112-197)) | WP(29-197)) | WP(146-197)) | WP(180-197)) | WP(119-197)) | WP(57-197)) | WP(61-197)) | WP(30-197)) & (Reach 197));18;30;13;17;reduce=True;VerifyMethod.allSymbolic;0.1524891853332519;88.456;True
5Arpanet196912.gml;(((((WP(7-23) | WP(12-23)) | WP(13-23)) | WP(16-23)) | WP(21-23)) & (Reach 23));0;2;16;2;reduce=True;VerifyMethod.allSymbolic;0.008029540379842067;87.02;True
5Arpanet19706.gml;(((((((((((WP(32-52) | WP(37-52)) | WP(7-52)) | WP(39-52)) | WP(9-52)) | WP(46-52)) | WP(14-52)) | WP(19-52)) | WP(52-52)) | WP(24-52)) | WP(28-52)) & (Reach 52));5;16;16;9;reduce=True;VerifyMethod.allSymbolic;0.048774957656860296;87.15733333333333;True
5Arpanet19719.gml;(((((((((((((((((((WP(10-103) | WP(14-103)) | WP(22-103)) | WP(26-103)) | WP(30-103)) | WP(31-103)) | WP(42-103)) | WP(49-103)) | WP(52-103)) | WP(56-103)) | WP(59-103)) | WP(71-103)) | WP(72-103)) | WP(73-103)) | WP(81-103)) | WP(90-103)) | WP(93-103)) | WP(100-103)) | WP(104-103)) & (Reach 103));34;39;8;6;reduce=True;VerifyMethod.allSymbolic;0.053383270899454736;87.536;True
5Arpanet19723.gml;((((((((((((((((((((((((((WP(0-145) | WP(128-145)) | WP(140-145)) | WP(13-145)) | WP(15-145)) | WP(145-145)) | WP(147-145)) | WP(20-145)) | WP(37-145)) | WP(41-145)) | WP(42-145)) | WP(48-145)) | WP(57-145)) | WP(60-145)) | WP(61-145)) | WP(64-145)) | WP(75-145)) | WP(77-145)) | WP(79-145)) | WP(88-145)) | WP(96-145)) | WP(101-145)) | WP(108-145)) | WP(117-145)) | WP(123-145)) | WP(127-145)) & (Reach 145));54;59;6;6;reduce=True;VerifyMethod.allSymbolic;0.10379330317179357;87.79466666666667;True
5Arpanet19728.gml;(((((((((((((((((WP(98-171) | WP(69-171)) | WP(40-171)) | WP(168-171)) | WP(11-171)) | WP(139-171)) | WP(110-171)) | WP(81-171)) | WP(146-171)) | WP(52-171)) | WP(117-171)) | WP(23-171)) | WP(88-171)) | WP(59-171)) | WP(156-171)) | WP(30-171)) | WP(127-171)) & (Reach 171));48;48;6;6;reduce=True;VerifyMethod.allSymbolic;0.05439631144205726;88.656;True
5AsnetAm.gml;((((((((((((((((((((WP(267-383) | WP(22-383)) | WP(157-383)) | WP(162-383)) | WP(292-383)) | WP(56-383)) | WP(186-383)) | WP(187-383)) | WP(316-383)) | WP(72-383)) | WP(202-383)) | WP(203-383)) | WP(332-383)) | WP(347-383)) | WP(96-383)) | WP(226-383)) | WP(356-383)) | WP(357-383)) | WP(119-383)) | WP(253-383)) & (Reach 383));15;21;27;12;reduce=True;VerifyMethod.allSymbolic;0.18840726216634116;89.14933333333333;True
5Atmnet.gml;(((((((((((((((((((((((WP(2-120) | WP(15-120)) | WP(20-120)) | WP(24-120)) | WP(25-120)) | WP(37-120)) | WP(38-120)) | WP(44-120)) | WP(47-120)) | WP(58-120)) | WP(59-120)) | WP(65-120)) | WP(68-120)) | WP(72-120)) | WP(81-120)) | WP(86-120)) | WP(89-120)) | WP(92-120)) | WP(103-120)) | WP(107-120)) | WP(110-120)) | WP(120-120)) | WP(125-120)) & (Reach 120));48;54;6;6;reduce=True;VerifyMethod.allSymbolic;0.0992184480031331;87.69333333333333;True
5AttMpls.gml;((((((((((((((WP(100-149) | WP(102-149)) | WP(40-149)) | WP(88-149)) | WP(74-149)) | WP(137-149)) | WP(12-149)) | WP(77-149)) | WP(47-149)) | WP(149-149)) | WP(24-149)) | WP(56-149)) | WP(59-149)) | WP(126-149)) & (Reach 149));17;23;8;11;reduce=True;VerifyMethod.allSymbolic;0.061332384745279904;88.44533333333334;True
5Bbnplanet.gml;((((((((((((((WP(65-148) | WP(99-148)) | WP(131-148)) | WP(7-148)) | WP(40-148)) | WP(137-148)) | WP(74-148)) | WP(142-148)) | WP(17-148)) | WP(51-148)) | WP(152-148)) | WP(89-148)) | WP(123-148)) | WP(28-148)) & (Reach 148));24;24;18;6;reduce=True;VerifyMethod.allSymbolic;0.03892016410827633;89.19333333333333;True
5Bellcanada.gml;(((((((((((((((((((((((((((((((WP(256-250) | WP(257-250)) | WP(131-250)) | WP(16-250)) | WP(17-250)) | WP(274-250)) | WP(275-250)) | WP(150-250)) | WP(154-250)) | WP(158-250)) | WP(160-250)) | WP(34-250)) | WP(35-250)) | WP(49-250)) | WP(179-250)) | WP(54-250)) | WP(190-250)) | WP(64-250)) | WP(66-250)) | WP(198-250)) | WP(77-250)) | WP(208-250)) | WP(83-250)) | WP(98-250)) | WP(227-250)) | WP(102-250)) | WP(109-250)) | WP(237-250)) | WP(112-250)) | WP(115-250)) | WP(246-250)) & (Reach 250));42;48;30;12;reduce=True;VerifyMethod.allSymbolic;0.33078296979268385;89.31866666666667;True
5Bellsouth.gml;((((((((((((((((((WP(257-291) | WP(195-291)) | WP(101-291)) | WP(294-291)) | WP(199-291)) | WP(39-291)) | WP(137-291)) | WP(10-291)) | WP(265-291)) | WP(202-291)) | WP(235-291)) | WP(61-291)) | WP(93-291)) | WP(148-291)) | WP(189-291)) | WP(87-291)) | WP(152-291)) | WP(253-291)) & (Reach 291));6;12;36;6;reduce=True;VerifyMethod.allSymbolic;0.04664389292399083;89.056;True
5Belnet2003.gml;((((((WP(27-137) | WP(50-137)) | WP(52-137)) | WP(120-137)) | WP(91-137)) | WP(29-137)) & (Reach 137));6;6;12;6;reduce=True;VerifyMethod.allSymbolic;0.011775334676106733;88.70266666666667;True
5Belnet2004.gml;((((((WP(27-137) | WP(50-137)) | WP(52-137)) | WP(120-137)) | WP(91-137)) | WP(29-137)) & (Reach 137));6;6;12;6;reduce=True;VerifyMethod.allSymbolic;0.012160221735636368;88.05733333333332;True
5Belnet2005.gml;((((((WP(27-137) | WP(50-137)) | WP(52-137)) | WP(120-137)) | WP(91-137)) | WP(29-137)) & (Reach 137));7;7;11;6;reduce=True;VerifyMethod.allSymbolic;0.012046655019124301;88.712;True
5Belnet2006.gml;((((((WP(27-137) | WP(50-137)) | WP(52-137)) | WP(120-137)) | WP(91-137)) | WP(29-137)) & (Reach 137));7;7;11;6;reduce=True;VerifyMethod.allSymbolic;0.011679887771606398;88.06666666666666;True
5Belnet2007.gml;((((((((((((((((((((WP(6-120) | WP(15-120)) | WP(17-120)) | WP(21-120)) | WP(35-120)) | WP(40-120)) | WP(48-120)) | WP(52-120)) | WP(57-120)) | WP(63-120)) | WP(77-120)) | WP(79-120)) | WP(83-120)) | WP(87-120)) | WP(91-120)) | WP(97-120)) | WP(107-120)) | WP(115-120)) | WP(122-120)) | WP(123-120)) & (Reach 120));26;42;6;16;reduce=True;VerifyMethod.allSymbolic;0.29151185353597003;89.08933333333334;True
5Belnet2008.gml;((((((((((((((((((((WP(6-120) | WP(15-120)) | WP(17-120)) | WP(21-120)) | WP(35-120)) | WP(40-120)) | WP(48-120)) | WP(52-120)) | WP(57-120)) | WP(63-120)) | WP(77-120)) | WP(79-120)) | WP(83-120)) | WP(87-120)) | WP(91-120)) | WP(97-120)) | WP(107-120)) | WP(115-120)) | WP(122-120)) | WP(123-120)) & (Reach 120));26;42;6;16;reduce=True;VerifyMethod.allSymbolic;0.28652747472127277;88.32;True
5Belnet2009.gml;((((((((((((((((((WP(64-114) | WP(5-114)) | WP(102-114)) | WP(71-114)) | WP(72-114)) | WP(122-114)) | WP(74-114)) | WP(107-114)) | WP(42-114)) | WP(46-114)) | WP(110-114)) | WP(17-114)) | WP(54-114)) | WP(24-114)) | WP(25-114)) | WP(90-114)) | WP(27-114)) | WP(29-114)) & (Reach 114));36;42;6;6;reduce=True;VerifyMethod.allSymbolic;0.0619447231292724;88.51466666666666;True
5Belnet2010.gml;((((((((((((((((((((WP(128-126) | WP(129-126)) | WP(4-126)) | WP(16-126)) | WP(18-126)) | WP(22-126)) | WP(37-126)) | WP(42-126)) | WP(48-126)) | WP(56-126)) | WP(60-126)) | WP(66-126)) | WP(81-126)) | WP(83-126)) | WP(87-126)) | WP(91-126)) | WP(95-126)) | WP(102-126)) | WP(112-126)) | WP(122-126)) & (Reach 126));26;42;6;16;reduce=True;VerifyMethod.allSymbolic;0.47934865951538086;88.54266666666666;True
5BeyondTheNetwork.gml;((((((((((((((((((WP(153-291) | WP(165-291)) | WP(262-291)) | WP(199-291)) | WP(104-291)) | WP(77-291)) | WP(238-291)) | WP(47-291)) | WP(208-291)) | WP(146-291)) | WP(308-291)) | WP(247-291)) | WP(312-291)) | WP(25-291)) | WP(154-291)) | WP(283-291)) | WP(60-291)) | WP(61-291)) & (Reach 291));14;21;28;6;reduce=True;VerifyMethod.allSymbolic;0.055676857630411726;89.11466666666666;True
5Bics.gml;(((((((((((((((((((((WP(133-193) | WP(137-193)) | WP(16-193)) | WP(146-193)) | WP(24-193)) | WP(39-193)) | WP(40-193)) | WP(170-193)) | WP(171-193)) | WP(52-193)) | WP(181-193)) | WP(187-193)) | WP(63-193)) | WP(71-193)) | WP(73-193)) | WP(85-193)) | WP(95-193)) | WP(99-193)) | WP(106-193)) | WP(113-193)) | WP(127-193)) & (Reach 193));27;30;21;6;reduce=True;VerifyMethod.allSymbolic;0.0700587431589762;88.55866666666667;True
5Biznet.gml;((((((((((((((((((((((((((((((((((((((((WP(0-164) | WP(132-164)) | WP(134-164)) | WP(140-164)) | WP(13-164)) | WP(14-164)) | WP(145-164)) | WP(22-164)) | WP(155-164)) | WP(28-164)) | WP(27-164)) | WP(158-164)) | WP(159-164)) | WP(33-164)) | WP(36-164)) | WP(167-164)) | WP(172-164)) | WP(173-164)) | WP(46-164)) | WP(45-164)) | WP(48-164)) | WP(52-164)) | WP(55-164)) | WP(59-164)) | WP(66-164)) | WP(70-164)) | WP(73-164)) | WP(77-164)) | WP(81-164)) | WP(83-164)) | WP(90-164)) | WP(96-164)) | WP(98-164)) | WP(102-164)) | WP(107-164)) | WP(108-164)) | WP(115-164)) | WP(118-164)) | WP(121-164)) | WP(122-164)) & (Reach 164));66;72;24;12;reduce=True;VerifyMethod.allSymbolic;0.5901571114857992;88.73599999999999;True
5Bren.gml;((((((((((((((((((((((WP(128-221) | WP(2-221)) | WP(3-221)) | WP(132-221)) | WP(139-221)) | WP(147-221)) | WP(148-221)) | WP(151-221)) | WP(158-221)) | WP(36-221)) | WP(47-221)) | WP(59-221)) | WP(187-221)) | WP(188-221)) | WP(71-221)) | WP(72-221)) | WP(201-221)) | WP(85-221)) | WP(221-221)) | WP(99-221)) | WP(101-221)) | WP(109-221)) & (Reach 221));24;36;18;12;reduce=True;VerifyMethod.allSymbolic;0.17886304855346677;88.372;True
5BsonetEurope.gml;((((((((((WP(102-106) | WP(107-106)) | WP(46-106)) | WP(17-106)) | WP(83-106)) | WP(52-106)) | WP(55-106)) | WP(27-106)) | WP(62-106)) | WP(31-106)) & (Reach 106));10;10;26;6;reduce=True;VerifyMethod.allSymbolic;0.023401021957397433;88.14533333333333;True
5BtAsiaPac.gml;(((((WP(100-119) | WP(40-119)) | WP(80-119)) | WP(20-119)) | WP(60-119)) & (Reach 119));6;6;18;6;reduce=True;VerifyMethod.allSymbolic;0.013001998265584269;87.71199999999999;True
5BtEurope.gml;(((((WP(134-140) | WP(110-140)) | WP(86-140)) | WP(24-140)) | WP(62-140)) & (Reach 140));6;6;18;6;reduce=True;VerifyMethod.allSymbolic;0.013535658518473265;89.18666666666667;True
5BtNorthAmerica.gml;(((((((((((((((((WP(32-214) | WP(35-214)) | WP(133-214)) | WP(38-214)) | WP(135-214)) | WP(166-214)) | WP(105-214)) | WP(106-214)) | WP(76-214)) | WP(46-214)) | WP(142-214)) | WP(80-214)) | WP(145-214)) | WP(212-214)) | WP(215-214)) | WP(184-214)) | WP(188-214)) & (Reach 214));22;27;11;9;reduce=True;VerifyMethod.allSymbolic;0.08100414276123043;88.93333333333334;True
5Canerie.gml;(((((((((((((((((((((((WP(3-190) | WP(131-190)) | WP(135-190)) | WP(7-190)) | WP(145-190)) | WP(29-190)) | WP(163-190)) | WP(36-190)) | WP(167-190)) | WP(174-190)) | WP(49-190)) | WP(59-190)) | WP(190-190)) | WP(63-190)) | WP(71-190)) | WP(78-190)) | WP(81-190)) | WP(93-190)) | WP(95-190)) | WP(101-190)) | WP(111-190)) | WP(123-190)) | WP(126-190)) & (Reach 190));17;34;21;16;reduce=True;VerifyMethod.allSymbolic;0.36311833063761395;88.70800000000001;True
5Cernet.gml;((((((((((((((((WP(33-243) | WP(65-243)) | WP(130-243)) | WP(161-243)) | WP(196-243)) | WP(38-243)) | WP(103-243)) | WP(171-243)) | WP(205-243)) | WP(78-243)) | WP(238-243)) | WP(82-243)) | WP(147-243)) | WP(243-243)) | WP(211-243)) | WP(119-243)) & (Reach 243));6;17;13;17;reduce=True;VerifyMethod.allSymbolic;0.12995179494222;88.78666666666668;True
5Cesnet2001.gml;(((((WP(69-132) | WP(46-132)) | WP(115-132)) | WP(23-132)) | WP(92-132)) & (Reach 132));5;5;20;5;reduce=True;VerifyMethod.allSymbolic;0.0127913951873779;87.56533333333334;True
5Cesnet200304.gml;((((((((((((((((WP(32-168) | WP(129-168)) | WP(67-168)) | WP(71-168)) | WP(169-168)) | WP(138-168)) | WP(112-168)) | WP(81-168)) | WP(80-168)) | WP(116-168)) | WP(22-168)) | WP(54-168)) | WP(24-168)) | WP(151-168)) | WP(93-168)) | WP(158-168)) & (Reach 168));9;12;24;9;reduce=True;VerifyMethod.allSymbolic;0.05405410130818683;88.084;True
5Cesnet200511.gml;(((((((((((WP(162-214) | WP(3-214)) | WP(163-214)) | WP(134-214)) | WP(198-214)) | WP(140-214)) | WP(78-214)) | WP(48-214)) | WP(113-214)) | WP(210-214)) | WP(58-214)) & (Reach 214));12;12;30;6;reduce=True;VerifyMethod.allSymbolic;0.0277790228525797;88.33333333333333;True
5Cesnet200603.gml;(((((((((((WP(162-214) | WP(3-214)) | WP(163-214)) | WP(134-214)) | WP(198-214)) | WP(140-214)) | WP(78-214)) | WP(48-214)) | WP(113-214)) | WP(210-214)) | WP(58-214)) & (Reach 214));12;12;30;6;reduce=True;VerifyMethod.allSymbolic;0.027838627497355096;88.37866666666667;True
5Cesnet200706.gml;((((((((((((((((WP(160-258) | WP(259-258)) | WP(260-258)) | WP(39-258)) | WP(41-258)) | WP(171-258)) | WP(172-258)) | WP(236-258)) | WP(51-258)) | WP(116-258)) | WP(85-258)) | WP(182-258)) | WP(88-258)) | WP(185-258)) | WP(60-258)) | WP(126-258)) & (Reach 258));10;16;26;6;reduce=True;VerifyMethod.allSymbolic;0.04084523518880203;89.89333333333333;True
5Cesnet201006.gml;(((((((((((((((WP(226-306) | WP(100-306)) | WP(260-306)) | WP(140-306)) | WP(204-306)) | WP(47-306)) | WP(307-306)) | WP(52-306)) | WP(150-306)) | WP(278-306)) | WP(151-306)) | WP(217-306)) | WP(122-306)) | WP(156-306)) | WP(255-306)) & (Reach 306));16;19;17;9;reduce=True;VerifyMethod.allSymbolic;0.0533506075541178;89.596;True
5Chinanet.gml;(((((((((((WP(128-247) | WP(37-247)) | WP(201-247)) | WP(170-247)) | WP(44-247)) | WP(80-247)) | WP(144-247)) | WP(212-247)) | WP(86-247)) | WP(247-247)) | WP(92-247)) & (Reach 247));6;12;18;6;reduce=True;VerifyMethod.allSymbolic;0.026085535685221335;89.59466666666667;True
5Claranet.gml;(((((((((((WP(34-88) | WP(75-88)) | WP(45-88)) | WP(13-88)) | WP(15-88)) | WP(46-88)) | WP(88-88)) | WP(27-88)) | WP(60-88)) | WP(30-88)) | WP(63-88)) & (Reach 88));6;12;18;6;reduce=True;VerifyMethod.allSymbolic;0.0234440167744954;87.43866666666668;True
5Cogentco.gml;(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((WP(257-1167) | WP(1153-1167)) | WP(1025-1167)) | WP(3-1167)) | WP(773-1167)) | WP(518-1167)) | WP(517-1167)) | WP(522-1167)) | WP(910-1167)) | WP(14-1167)) | WP(142-1167)) | WP(398-1167)) | WP(146-1167)) | WP(912-1167)) | WP(915-1167)) | WP(150-1167)) | WP(279-1167)) | WP(1046-1167)) | WP(409-1167)) | WP(537-1167)) | WP(794-1167)) | WP(668-1167)) | WP(1174-1167)) | WP(801-1167)) | WP(37-1167)) | WP(168-1167)) | WP(40-1167)) | WP(937-1167)) | WP(554-1167)) | WP(941-1167)) | WP(942-1167)) | WP(955-1167)) | WP(61-1167)) | WP(830-1167)) | WP(189-1167)) | WP(320-1167)) | WP(318-1167)) | WP(576-1167)) | WP(579-1167)) | WP(583-1167)) | WP(712-1167)) | WP(327-1167)) | WP(202-1167)) | WP(713-1167)) | WP(463-1167)) | WP(720-1167)) | WP(209-1167)) | WP(722-1167)) | WP(1110-1167)) | WP(471-1167)) | WP(988-1167)) | WP(477-1167)) | WP(349-1167)) | WP(735-1167)) | WP(734-1167)) | WP(739-1167)) | WP(999-1167)) | WP(1127-1167)) | WP(1131-1167)) | WP(366-1167)) | WP(238-1167)) | WP(1135-1167)) | WP(753-1167)) | WP(240-1167)) | WP(623-1167)) | WP(632-1167)) | WP(1022-1167)) & (Reach 1167));96;114;60;18;reduce=True;VerifyMethod.allSymbolic;6.846984148025513;95.68266666666666;True
5Colt.gml;((((((((((((((((((((((((((((((((((((((((((((((((((((((((WP(2-860) | WP(387-860)) | WP(260-860)) | WP(388-860)) | WP(262-860)) | WP(517-860)) | WP(770-860)) | WP(522-860)) | WP(13-860)) | WP(782-860)) | WP(527-860)) | WP(17-860)) | WP(917-860)) | WP(152-860)) | WP(795-860)) | WP(668-860)) | WP(413-860)) | WP(158-860)) | WP(669-860)) | WP(289-860)) | WP(291-860)) | WP(678-860)) | WP(684-860)) | WP(686-860)) | WP(308-860)) | WP(822-860)) | WP(183-860)) | WP(568-860)) | WP(823-860)) | WP(828-860)) | WP(318-860)) | WP(319-860)) | WP(582-860)) | WP(72-860)) | WP(74-860)) | WP(719-860)) | WP(464-860)) | WP(211-860)) | WP(600-860)) | WP(216-860)) | WP(860-860)) | WP(95-860)) | WP(357-860)) | WP(614-860)) | WP(489-860)) | WP(874-860)) | WP(107-860)) | WP(363-860)) | WP(751-860)) | WP(625-860)) | WP(626-860)) | WP(883-860)) | WP(118-860)) | WP(378-860)) | WP(380-860)) | WP(509-860)) & (Reach 860));72;111;30;24;reduce=True;VerifyMethod.allSymbolic;2.102670192718506;93.17333333333333;True
5Columbus.gml;((((((((((((((((((((((((((((((((((((((((((((((((WP(129-414) | WP(258-414)) | WP(5-414)) | WP(134-414)) | WP(135-414)) | WP(267-414)) | WP(268-414)) | WP(400-414)) | WP(17-414)) | WP(274-414)) | WP(147-414)) | WP(273-414)) | WP(280-414)) | WP(26-414)) | WP(27-414)) | WP(28-414)) | WP(156-414)) | WP(415-414)) | WP(168-414)) | WP(171-414)) | WP(302-414)) | WP(50-414)) | WP(186-414)) | WP(187-414)) | WP(65-414)) | WP(194-414)) | WP(324-414)) | WP(74-414)) | WP(203-414)) | WP(79-414)) | WP(335-414)) | WP(337-414)) | WP(82-414)) | WP(211-414)) | WP(88-414)) | WP(346-414)) | WP(347-414)) | WP(91-414)) | WP(225-414)) | WP(355-414)) | WP(230-414)) | WP(239-414)) | WP(367-414)) | WP(369-414)) | WP(376-414)) | WP(377-414)) | WP(378-414)) | WP(126-414)) & (Reach 414));78;102;24;12;reduce=True;VerifyMethod.allSymbolic;3.0094770590464273;89.86133333333333;True
5Compuserve.gml;(((((((((((WP(64-81) | WP(34-81)) | WP(38-81)) | WP(11-81)) | WP(76-81)) | WP(77-81)) | WP(48-81)) | WP(18-81)) | WP(51-81)) | WP(24-81)) | WP(62-81)) & (Reach 81));16;21;8;6;reduce=True;VerifyMethod.allSymbolic;0.0252140363057454;87.89866666666667;True
5CrlNetworkServices.gml;((((((((((((((((((((((((((((WP(132-195) | WP(6-195)) | WP(145-195)) | WP(19-195)) | WP(147-195)) | WP(150-195)) | WP(24-195)) | WP(30-195)) | WP(164-195)) | WP(39-195)) | WP(46-195)) | WP(48-195)) | WP(49-195)) | WP(179-195)) | WP(181-195)) | WP(184-195)) | WP(57-195)) | WP(191-195)) | WP(195-195)) | WP(68-195)) | WP(74-195)) | WP(77-195)) | WP(87-195)) | WP(109-195)) | WP(115-195)) | WP(119-195)) | WP(121-195)) | WP(127-195)) & (Reach 195));45;59;13;8;reduce=True;VerifyMethod.allSymbolic;0.17705408732096353;88.17333333333333;True
